"observation","time_period","ref_area","indicator","breakdown","unit_measure","value","flag","note"
"http://semantic.digital-agenda-data.eu/data/DESI/desi_1d1_bbpi/desi_1d1_bbpi/egov_score/LT/2020","2020","LT","desi_1d1_bbpi","desi_1d1_bbpi","egov_score",78.6117,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_1d1_bbpi/desi_1d1_bbpi/egov_score/NL/2020","2020","NL","desi_1d1_bbpi","desi_1d1_bbpi","egov_score",55.9521,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_1d_bbpi/desi_1d1_bbpi/egov_score/DK/2020","2020","DK","desi_1d_bbpi","desi_1d1_bbpi","egov_score",60.6457,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_1d_bbpi/desi_1d1_bbpi/egov_score/FR/2020","2020","FR","desi_1d_bbpi","desi_1d1_bbpi","egov_score",80.3184,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_1d_bbpi/desi_1d1_bbpi/egov_score/LT/2020","2020","LT","desi_1d_bbpi","desi_1d1_bbpi","egov_score",78.6117,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_1d_bbpi/desi_1d1_bbpi/egov_score/NL/2020","2020","NL","desi_1d_bbpi","desi_1d1_bbpi","egov_score",55.9521,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_1_conn/desi_1d_bbpi/egov_score/ES/2020","2020","ES","desi_1_conn","desi_1d_bbpi","egov_score",7.59667,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_1_conn/desi_1d_bbpi/egov_score/FI/2020","2020","FI","desi_1_conn","desi_1d_bbpi","egov_score",11.7829,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_1_conn/desi_1d_bbpi/egov_score/FR/2020","2020","FR","desi_1_conn","desi_1d_bbpi","egov_score",12.0478,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_3b_acton/desi_3b6_courseon/egov_score/AT/2020","2020","AT","desi_3b_acton","desi_3b6_courseon","egov_score",5.09288,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_3b_acton/desi_3b6_courseon/egov_score/IE/2020","2020","IE","desi_3b_acton","desi_3b6_courseon","egov_score",7.70907,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_3b_acton/desi_3b6_courseon/egov_score/SI/2020","2020","SI","desi_3b_acton","desi_3b6_courseon","egov_score",3.63731,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_1c3_5g/5g_pb/pc_spectrum_assigned/AT/2020","2020","AT","desi_1c3_5g","5g_pb","pc_spectrum_assigned",0.325,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_1c3_5g/5g_pb/pc_spectrum_assigned/BE/2019","2019","BE","desi_1c3_5g","5g_pb","pc_spectrum_assigned",0,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_1c3_5g/5g_pb/pc_spectrum_assigned/BG/2020","2020","BG","desi_1c3_5g","5g_pb","pc_spectrum_assigned",0,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_1c3_5g/5g_pb/pc_spectrum_assigned/EE/2019","2019","EE","desi_1c3_5g","5g_pb","pc_spectrum_assigned",0,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_1c3_5g/5g_pb/pc_spectrum_assigned/IE/2020","2020","IE","desi_1c3_5g","5g_pb","pc_spectrum_assigned",0.3,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_1c3_5g/5g_pb/pc_spectrum_assigned/LT/2020","2020","LT","desi_1c3_5g","5g_pb","pc_spectrum_assigned",0,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_1c3_5g/5g_pb/pc_spectrum_assigned/LU/2019","2019","LU","desi_1c3_5g","5g_pb","pc_spectrum_assigned",0,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_1c3_5g/5g_pb/pc_spectrum_assigned/MT/2019","2019","MT","desi_1c3_5g","5g_pb","pc_spectrum_assigned",0,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_1c3_5g/5g_pb/pc_spectrum_assigned/UK/2019","2019","UK","desi_1c3_5g","5g_pb","pc_spectrum_assigned",0,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_2a_bsu/desi_2a1_bds/egov_score/LV/2020","2020","LV","desi_2a_bsu","desi_2a1_bds","egov_score",14.3214,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_2b_asd/desi_2b2_fictspec/egov_score/PT/2020","2020","PT","desi_2b_asd","desi_2b2_fictspec","egov_score",5.96676,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_2b_asd/desi_2b2_fictspec/egov_score/SE/2020","2020","SE","desi_2b_asd","desi_2b2_fictspec","egov_score",24.8347,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_2b_asd/desi_2b3_ictg/egov_score/HR/2020","2020","HR","desi_2b_asd","desi_2b3_ictg","egov_score",18.3333,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_2b_asd/desi_2b3_ictg/egov_score/HU/2020","2020","HU","desi_2b_asd","desi_2b3_ictg","egov_score",14.3333,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_2b_asd/desi_2b3_ictg/egov_score/IT/2020","2020","IT","desi_2b_asd","desi_2b3_ictg","egov_score",3.33333,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_2b_asd/desi_2b3_ictg/egov_score/SI/2020","2020","SI","desi_2b_asd","desi_2b3_ictg","egov_score",12.3333,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_3a_ui/desi_3a1_notiu/egov_score/UK/2020","2020","UK","desi_3a_ui","desi_3a1_notiu","egov_score",46.4754,,
