"ITTER107","Territory","TIPO_DATO15","Demographic data type","SEXISTAT1","Gender","ETA1","Age","STATCIV2","Marital status","TIME","Select time","Value","Flag Codes","Flags"
"ITF6","Calabria","JAN","population on 1st January","9","total","Y87","87 years","99","total","2016","2016",7668,,
"ITF6","Calabria","JAN","population on 1st January","9","total","Y87","87 years","99","total","2017","2017",8183,,
"ITF6","Calabria","JAN","population on 1st January","9","total","Y87","87 years","99","total","2018","2018",8602,,
"ITG1","Sicilia","JAN","population on 1st January","9","total","Y87","87 years","99","total","2012","2012",18169,,
"ITG1","Sicilia","JAN","population on 1st January","9","total","Y87","87 years","99","total","2013","2013",17526,,
"ITG1","Sicilia","JAN","population on 1st January","9","total","Y87","87 years","99","total","2014","2014",18701,,
"ITG1","Sicilia","JAN","population on 1st January","9","total","Y87","87 years","99","total","2015","2015",18175,,
"ITG1","Sicilia","JAN","population on 1st January","9","total","Y87","87 years","99","total","2016","2016",19032,,
"ITG1","Sicilia","JAN","population on 1st January","9","total","Y87","87 years","99","total","2017","2017",19326,,
"ITG1","Sicilia","JAN","population on 1st January","9","total","Y87","87 years","99","total","2018","2018",21579,,
"ITG2","Sardegna","JAN","population on 1st January","9","total","Y87","87 years","99","total","2012","2012",5905,,
"ITG2","Sardegna","JAN","population on 1st January","9","total","Y87","87 years","99","total","2013","2013",5624,,
"ITG2","Sardegna","JAN","population on 1st January","9","total","Y87","87 years","99","total","2014","2014",6363,,
"ITG2","Sardegna","JAN","population on 1st January","9","total","Y87","87 years","99","total","2015","2015",6273,,
"ITG2","Sardegna","JAN","population on 1st January","9","total","Y87","87 years","99","total","2016","2016",6831,,
"ITG2","Sardegna","JAN","population on 1st January","9","total","Y87","87 years","99","total","2017","2017",6892,,
"ITG2","Sardegna","JAN","population on 1st January","9","total","Y87","87 years","99","total","2018","2018",7470,,
"ITC1","Piemonte","JAN","population on 1st January","9","total","Y88","88 years","99","total","2012","2012",16764,,
"ITC1","Piemonte","JAN","population on 1st January","9","total","Y88","88 years","99","total","2013","2013",16530,,
"ITC1","Piemonte","JAN","population on 1st January","9","total","Y88","88 years","99","total","2014","2014",17382,,
"ITC1","Piemonte","JAN","population on 1st January","9","total","Y88","88 years","99","total","2015","2015",18019,,
"ITC1","Piemonte","JAN","population on 1st January","9","total","Y88","88 years","99","total","2016","2016",18878,,
"ITC1","Piemonte","JAN","population on 1st January","9","total","Y88","88 years","99","total","2017","2017",19167,,
"ITC1","Piemonte","JAN","population on 1st January","9","total","Y88","88 years","99","total","2018","2018",20074,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","JAN","population on 1st January","9","total","Y88","88 years","99","total","2012","2012",436,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","JAN","population on 1st January","9","total","Y88","88 years","99","total","2013","2013",423,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","JAN","population on 1st January","9","total","Y88","88 years","99","total","2014","2014",456,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","JAN","population on 1st January","9","total","Y88","88 years","99","total","2015","2015",508,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","JAN","population on 1st January","9","total","Y88","88 years","99","total","2016","2016",506,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","JAN","population on 1st January","9","total","Y88","88 years","99","total","2017","2017",518,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","JAN","population on 1st January","9","total","Y88","88 years","99","total","2018","2018",523,,
"ITC3","Liguria","JAN","population on 1st January","9","total","Y88","88 years","99","total","2012","2012",7872,,
"ITC3","Liguria","JAN","population on 1st January","9","total","Y88","88 years","99","total","2013","2013",7679,,
"ITC3","Liguria","JAN","population on 1st January","9","total","Y88","88 years","99","total","2014","2014",7999,,
"ITC3","Liguria","JAN","population on 1st January","9","total","Y88","88 years","99","total","2015","2015",8195,,
"ITC3","Liguria","JAN","population on 1st January","9","total","Y88","88 years","99","total","2016","2016",8335,,
"ITC3","Liguria","JAN","population on 1st January","9","total","Y88","88 years","99","total","2017","2017",8632,,
"ITC3","Liguria","JAN","population on 1st January","9","total","Y88","88 years","99","total","2018","2018",8932,,
"ITC4","Lombardia","JAN","population on 1st January","9","total","Y88","88 years","99","total","2012","2012",31663,,
"ITC4","Lombardia","JAN","population on 1st January","9","total","Y88","88 years","99","total","2013","2013",32159,,
"ITC4","Lombardia","JAN","population on 1st January","9","total","Y88","88 years","99","total","2014","2014",32870,,
"ITC4","Lombardia","JAN","population on 1st January","9","total","Y88","88 years","99","total","2015","2015",33789,,
"ITC4","Lombardia","JAN","population on 1st January","9","total","Y88","88 years","99","total","2016","2016",35136,,
"ITC4","Lombardia","JAN","population on 1st January","9","total","Y88","88 years","99","total","2017","2017",36517,,
"ITC4","Lombardia","JAN","population on 1st January","9","total","Y88","88 years","99","total","2018","2018",37881,,
"ITDA","Trentino Alto Adige / Südtirol","JAN","population on 1st January","9","total","Y88","88 years","99","total","2012","2012",3650,,
"ITDA","Trentino Alto Adige / Südtirol","JAN","population on 1st January","9","total","Y88","88 years","99","total","2013","2013",3498,,
"ITDA","Trentino Alto Adige / Südtirol","JAN","population on 1st January","9","total","Y88","88 years","99","total","2014","2014",3595,,
"ITDA","Trentino Alto Adige / Südtirol","JAN","population on 1st January","9","total","Y88","88 years","99","total","2015","2015",3546,,
"ITDA","Trentino Alto Adige / Südtirol","JAN","population on 1st January","9","total","Y88","88 years","99","total","2016","2016",3660,,
"ITDA","Trentino Alto Adige / Südtirol","JAN","population on 1st January","9","total","Y88","88 years","99","total","2017","2017",3767,,
"ITDA","Trentino Alto Adige / Südtirol","JAN","population on 1st January","9","total","Y88","88 years","99","total","2018","2018",3801,,
"ITD2","Provincia Autonoma Trento","JAN","population on 1st January","9","total","Y88","88 years","99","total","2012","2012",2088,,
"ITD2","Provincia Autonoma Trento","JAN","population on 1st January","9","total","Y88","88 years","99","total","2013","2013",1980,,
"ITD2","Provincia Autonoma Trento","JAN","population on 1st January","9","total","Y88","88 years","99","total","2014","2014",1985,,
"ITD2","Provincia Autonoma Trento","JAN","population on 1st January","9","total","Y88","88 years","99","total","2015","2015",1936,,
"ITD2","Provincia Autonoma Trento","JAN","population on 1st January","9","total","Y88","88 years","99","total","2016","2016",2010,,
"ITD2","Provincia Autonoma Trento","JAN","population on 1st January","9","total","Y88","88 years","99","total","2017","2017",2073,,
"ITD2","Provincia Autonoma Trento","JAN","population on 1st January","9","total","Y88","88 years","99","total","2018","2018",2082,,
"ITD3","Veneto","JAN","population on 1st January","9","total","Y88","88 years","99","total","2012","2012",17222,,
"ITD3","Veneto","JAN","population on 1st January","9","total","Y88","88 years","99","total","2013","2013",16874,,
"ITD3","Veneto","JAN","population on 1st January","9","total","Y88","88 years","99","total","2014","2014",17691,,
"ITD3","Veneto","JAN","population on 1st January","9","total","Y88","88 years","99","total","2015","2015",18020,,
"ITD3","Veneto","JAN","population on 1st January","9","total","Y88","88 years","99","total","2016","2016",18721,,
"ITD3","Veneto","JAN","population on 1st January","9","total","Y88","88 years","99","total","2017","2017",18620,,
"ITD3","Veneto","JAN","population on 1st January","9","total","Y88","88 years","99","total","2018","2018",18300,,
"ITD4","Friuli-Venezia Giulia","JAN","population on 1st January","9","total","Y88","88 years","99","total","2012","2012",5483,,
"ITD4","Friuli-Venezia Giulia","JAN","population on 1st January","9","total","Y88","88 years","99","total","2013","2013",5333,,
"ITD4","Friuli-Venezia Giulia","JAN","population on 1st January","9","total","Y88","88 years","99","total","2014","2014",5301,,
"ITD4","Friuli-Venezia Giulia","JAN","population on 1st January","9","total","Y88","88 years","99","total","2015","2015",5485,,
"ITD4","Friuli-Venezia Giulia","JAN","population on 1st January","9","total","Y88","88 years","99","total","2016","2016",5367,,
"ITD4","Friuli-Venezia Giulia","JAN","population on 1st January","9","total","Y88","88 years","99","total","2017","2017",5238,,
"ITD4","Friuli-Venezia Giulia","JAN","population on 1st January","9","total","Y88","88 years","99","total","2018","2018",5357,,
"ITF2","Molise","JAN","population on 1st January","9","total","Y88","88 years","99","total","2012","2012",1292,,
"ITF2","Molise","JAN","population on 1st January","9","total","Y88","88 years","99","total","2013","2013",1275,,
"ITF2","Molise","JAN","population on 1st January","9","total","Y88","88 years","99","total","2014","2014",1313,,
"ITF2","Molise","JAN","population on 1st January","9","total","Y88","88 years","99","total","2015","2015",1427,,
"ITF2","Molise","JAN","population on 1st January","9","total","Y88","88 years","99","total","2016","2016",1517,,
"ITF2","Molise","JAN","population on 1st January","9","total","Y88","88 years","99","total","2017","2017",1414,,
"ITF2","Molise","JAN","population on 1st January","9","total","Y88","88 years","99","total","2018","2018",1483,,
"ITF3","Campania","JAN","population on 1st January","9","total","Y88","88 years","99","total","2012","2012",13644,,
"ITF3","Campania","JAN","population on 1st January","9","total","Y88","88 years","99","total","2013","2013",13638,,
"ITF3","Campania","JAN","population on 1st January","9","total","Y88","88 years","99","total","2014","2014",14577,,
"ITF3","Campania","JAN","population on 1st January","9","total","Y88","88 years","99","total","2015","2015",14897,,
"ITF3","Campania","JAN","population on 1st January","9","total","Y88","88 years","99","total","2016","2016",15433,,
"ITF3","Campania","JAN","population on 1st January","9","total","Y88","88 years","99","total","2017","2017",15869,,
"ITF3","Campania","JAN","population on 1st January","9","total","Y88","88 years","99","total","2018","2018",16058,,
"ITF4","Puglia","JAN","population on 1st January","9","total","Y88","88 years","99","total","2012","2012",11913,,
"ITF4","Puglia","JAN","population on 1st January","9","total","Y88","88 years","99","total","2013","2013",11677,,
"ITF4","Puglia","JAN","population on 1st January","9","total","Y88","88 years","99","total","2014","2014",12434,,
"ITF4","Puglia","JAN","population on 1st January","9","total","Y88","88 years","99","total","2015","2015",13074,,
"ITF4","Puglia","JAN","population on 1st January","9","total","Y88","88 years","99","total","2016","2016",13843,,
"ITF4","Puglia","JAN","population on 1st January","9","total","Y88","88 years","99","total","2017","2017",13907,,
"ITF4","Puglia","JAN","population on 1st January","9","total","Y88","88 years","99","total","2018","2018",14164,,
"ITF5","Basilicata","JAN","population on 1st January","9","total","Y88","88 years","99","total","2012","2012",2091,,
"ITF5","Basilicata","JAN","population on 1st January","9","total","Y88","88 years","99","total","2013","2013",1971,,
"ITF5","Basilicata","JAN","population on 1st January","9","total","Y88","88 years","99","total","2014","2014",2120,,
"ITF5","Basilicata","JAN","population on 1st January","9","total","Y88","88 years","99","total","2015","2015",2328,,
"ITF5","Basilicata","JAN","population on 1st January","9","total","Y88","88 years","99","total","2016","2016",2386,,
"ITF5","Basilicata","JAN","population on 1st January","9","total","Y88","88 years","99","total","2017","2017",2366,,
"ITF5","Basilicata","JAN","population on 1st January","9","total","Y88","88 years","99","total","2018","2018",2425,,
"ITF6","Calabria","JAN","population on 1st January","9","total","Y88","88 years","99","total","2012","2012",6197,,
"ITF6","Calabria","JAN","population on 1st January","9","total","Y88","88 years","99","total","2013","2013",6382,,
"ITF6","Calabria","JAN","population on 1st January","9","total","Y88","88 years","99","total","2014","2014",6558,,
"ITF6","Calabria","JAN","population on 1st January","9","total","Y88","88 years","99","total","2015","2015",6734,,
"ITF6","Calabria","JAN","population on 1st January","9","total","Y88","88 years","99","total","2016","2016",6730,,
"ITF6","Calabria","JAN","population on 1st January","9","total","Y88","88 years","99","total","2017","2017",6904,,
"ITF6","Calabria","JAN","population on 1st January","9","total","Y88","88 years","99","total","2018","2018",7173,,
"ITG1","Sicilia","JAN","population on 1st January","9","total","Y88","88 years","99","total","2012","2012",14592,,
"ITG1","Sicilia","JAN","population on 1st January","9","total","Y88","88 years","99","total","2013","2013",16013,,
"ITG1","Sicilia","JAN","population on 1st January","9","total","Y88","88 years","99","total","2014","2014",15505,,
"ITG1","Sicilia","JAN","population on 1st January","9","total","Y88","88 years","99","total","2015","2015",16334,,
"ITG1","Sicilia","JAN","population on 1st January","9","total","Y88","88 years","99","total","2016","2016",15904,,
"ITG1","Sicilia","JAN","population on 1st January","9","total","Y88","88 years","99","total","2017","2017",17000,,
"ITG1","Sicilia","JAN","population on 1st January","9","total","Y88","88 years","99","total","2018","2018",16941,,
"ITD1","Provincia Autonoma Bolzano / Bozen","JAN","population on 1st January","9","total","Y88","88 years","99","total","2012","2012",1562,,
"ITD1","Provincia Autonoma Bolzano / Bozen","JAN","population on 1st January","9","total","Y88","88 years","99","total","2013","2013",1518,,
"ITD1","Provincia Autonoma Bolzano / Bozen","JAN","population on 1st January","9","total","Y88","88 years","99","total","2014","2014",1610,,
"ITD1","Provincia Autonoma Bolzano / Bozen","JAN","population on 1st January","9","total","Y88","88 years","99","total","2015","2015",1610,,
"ITD1","Provincia Autonoma Bolzano / Bozen","JAN","population on 1st January","9","total","Y88","88 years","99","total","2016","2016",1650,,
