"ITTER107","Territory","VARICT","Data type","ATECO_2007","NACE 2007","CLLVT","Size classes of persons employed","TIME","Select time","Value","Flag Codes","Flags"
"IT","Italy","E_INV3SBG_PMP_GT0_PERC","enterprises sending invoices to other eneterprises or government with paper sending - more than 0% of all invoices  (percentages)","0034","total non financial services (g-n, including 951 and excluding 75 and  k)","W_GE250","250 and over","2018","2018",87.01,,
"IT","Italy","E_INV3SBG_PMP_GT0_PERC","enterprises sending invoices to other eneterprises or government with paper sending - more than 0% of all invoices  (percentages)","0035","total economic activities  (c-n, including 951, excluding 75 and k)","W10_49","10-49","2018","2018",85.34,,
"IT","Italy","E_INV3SBG_PMP_GT0_PERC","enterprises sending invoices to other eneterprises or government with paper sending - more than 0% of all invoices  (percentages)","0035","total economic activities  (c-n, including 951, excluding 75 and k)","W_GE10","10 and over","2018","2018",85.64,,
"IT","Italy","E_INV3SBG_PMP_GT0_PERC","enterprises sending invoices to other eneterprises or government with paper sending - more than 0% of all invoices  (percentages)","0035","total economic activities  (c-n, including 951, excluding 75 and k)","W50_99","50-99","2018","2018",87.24,,
"IT","Italy","E_INV3SBG_PMP_GT0_PERC","enterprises sending invoices to other eneterprises or government with paper sending - more than 0% of all invoices  (percentages)","0035","total economic activities  (c-n, including 951, excluding 75 and k)","W100_249","100-249","2018","2018",88.71,,
"IT","Italy","E_INV3SBG_PMP_GT0_PERC","enterprises sending invoices to other eneterprises or government with paper sending - more than 0% of all invoices  (percentages)","0035","total economic activities  (c-n, including 951, excluding 75 and k)","W_GE250","250 and over","2018","2018",88.58,,
"IT","Italy","E_INV3SBG_PMP_GT0_PERC","enterprises sending invoices to other eneterprises or government with paper sending - more than 0% of all invoices  (percentages)","0036","electricity, gas steam, air conditioning supply, water supply, sewerage, waste management and remediation activities (d-e)","W10_49","10-49","2018","2018",85.9,,
"IT","Italy","E_INV3SBG_PMP_GT0_PERC","enterprises sending invoices to other eneterprises or government with paper sending - more than 0% of all invoices  (percentages)","0036","electricity, gas steam, air conditioning supply, water supply, sewerage, waste management and remediation activities (d-e)","W_GE10","10 and over","2018","2018",86.53,,
"IT","Italy","E_INV3SBG_PMP_GT0_PERC","enterprises sending invoices to other eneterprises or government with paper sending - more than 0% of all invoices  (percentages)","0036","electricity, gas steam, air conditioning supply, water supply, sewerage, waste management and remediation activities (d-e)","W50_99","50-99","2018","2018",87.62,,
"IT","Italy","E_INV3SBG_PMP_GT0_PERC","enterprises sending invoices to other eneterprises or government with paper sending - more than 0% of all invoices  (percentages)","0036","electricity, gas steam, air conditioning supply, water supply, sewerage, waste management and remediation activities (d-e)","W100_249","100-249","2018","2018",92.09,,
