"ITTER107","Territory","VARICT","Data type","ATECO_2007","NACE 2007","CLLVT","Size classes of persons employed","TIME","Select time","Value","Flag Codes","Flags"
"IT","Italy","E_ITSPRCR2_PERC","enterprises have recruited/tried to recruit personnel for jobs requiring ICT specialist skills in previous year (percentages)","CC","manufacture of wood and paper products, and printing","W_GE10","10 and over","2019","2019",4.2,,
"IT","Italy","E_ITSPRCR2_PERC","enterprises have recruited/tried to recruit personnel for jobs requiring ICT specialist skills in previous year (percentages)","CH","manufacture of basic metals and fabricated metal products, except machinery and equipment","W_GE10","10 and over","2019","2019",4.63,,
"IT","Italy","E_ITSPRCR2_PERC","enterprises have recruited/tried to recruit personnel for jobs requiring ICT specialist skills in previous year (percentages)","CL","manufacture of transport equipment","W_GE10","10 and over","2019","2019",5.41,,
"IT","Italy","E_ITSPRCR2_PERC","enterprises have recruited/tried to recruit personnel for jobs requiring ICT specialist skills in previous year (percentages)","CM","other manufacturing, and repair and installation of machinery and equipment","W_GE10","10 and over","2019","2019",12.28,,
"IT","Italy","E_ITSPRCR2_PERC","enterprises have recruited/tried to recruit personnel for jobs requiring ICT specialist skills in previous year (percentages)","JC","it and other information services","W_GE10","10 and over","2019","2019",58.68,,
"IT","Italy","E_ITSPRCR2_PERC","enterprises have recruited/tried to recruit personnel for jobs requiring ICT specialist skills in previous year (percentages)","26","manufacture of computer, electronic and optical products","W_GE10","10 and over","2019","2019",16.19,,
"IT","Italy","E_ITSPRCR2_PERC","enterprises have recruited/tried to recruit personnel for jobs requiring ICT specialist skills in previous year (percentages)","47","retail trade, except of motor vehicles and motorcycles","W_GE10","10 and over","2019","2019",4.34,,
"IT","Italy","E_ITSPRCR2_PERC","enterprises have recruited/tried to recruit personnel for jobs requiring ICT specialist skills in previous year (percentages)","53","postal and courier activities","W_GE10","10 and over","2019","2019",6.55,,
"IT","Italy","E_ITSPRCR2_PERC","enterprises have recruited/tried to recruit personnel for jobs requiring ICT specialist skills in previous year (percentages)","55","accommodation ","W_GE10","10 and over","2019","2019",2.09,,
"IT","Italy","E_ITSPRCR2_PERC","enterprises have recruited/tried to recruit personnel for jobs requiring ICT specialist skills in previous year (percentages)","56","food service activities","W_GE10","10 and over","2019","2019",0.21,,
"IT","Italy","E_ITSPRCR2_PERC","enterprises have recruited/tried to recruit personnel for jobs requiring ICT specialist skills in previous year (percentages)","58","publishing activities","W_GE10","10 and over","2019","2019",16.94,,
"IT","Italy","E_ITSPRCR2_PERC","enterprises have recruited/tried to recruit personnel for jobs requiring ICT specialist skills in previous year (percentages)","61","telecommunications","W_GE10","10 and over","2019","2019",55.49,,
"IT","Italy","E_ITSPRCR2_PERC","enterprises have recruited/tried to recruit personnel for jobs requiring ICT specialist skills in previous year (percentages)","68","real estate activities","W_GE10","10 and over","2019","2019",4.11,,
"IT","Italy","E_ITSPRCR2_PERC","enterprises have recruited/tried to recruit personnel for jobs requiring ICT specialist skills in previous year (percentages)","79","travel agency, tour operator and other reservation service and related activities","W_GE10","10 and over","2019","2019",8.48,,
"IT","Italy","E_ITSPRCR2_PERC","enterprises have recruited/tried to recruit personnel for jobs requiring ICT specialist skills in previous year (percentages)","CD-CG","manufacture of coke and refined petroleum products, of chemicals and chemical products, of basic pharmaceutical products and preparations, of rubber, plastic and of other non-metallic mineral products","W_GE10","10 and over","2019","2019",3.55,,
"IT","Italy","E_ITSPRCR2_PERC","enterprises have recruited/tried to recruit personnel for jobs requiring ICT specialist skills in previous year (percentages)","CJ-CK","manufacture of electrical equipment and of machinery and equipment n.e.c. ","W_GE10","10 and over","2019","2019",10.39,,
"IT","Italy","E_ITSPRCR2_PERC","enterprises have recruited/tried to recruit personnel for jobs requiring ICT specialist skills in previous year (percentages)","JA_X_58","motion picture, video and television programme production, sound recording","W_GE10","10 and over","2019","2019",12.44,,
"IT","Italy","E_ITSPRCR2_PERC","enterprises have recruited/tried to recruit personnel for jobs requiring ICT specialist skills in previous year (percentages)","0031","professional, scientific and technical activities except veterinary activities","W_GE10","10 and over","2019","2019",13.32,,
"IT","Italy","E_ITSPRCR2_PERC","enterprises have recruited/tried to recruit personnel for jobs requiring ICT specialist skills in previous year (percentages)","0032","administrative and support service activities except travel agency, tour operator and other reservation service and related activities (N escluso 79)","W_GE10","10 and over","2019","2019",5.27,,
"IT","Italy","E_ITSPRCR2_PERC","enterprises have recruited/tried to recruit personnel for jobs requiring ICT specialist skills in previous year (percentages)","0033","ict sector","W_GE10","10 and over","2019","2019",52.87,,
"IT","Italy","E_ITSPRCR2_PERC","enterprises have recruited/tried to recruit personnel for jobs requiring ICT specialist skills in previous year (percentages)","0034","total non financial services (g-n, including 951 and excluding 75 and  k)","W10_49","10-49","2019","2019",5.82,,
"IT","Italy","E_ITSPRCR2_PERC","enterprises have recruited/tried to recruit personnel for jobs requiring ICT specialist skills in previous year (percentages)","0034","total non financial services (g-n, including 951 and excluding 75 and  k)","W_GE10","10 and over","2019","2019",7.4,,
"IT","Italy","E_ITSPRCR2_PERC","enterprises have recruited/tried to recruit personnel for jobs requiring ICT specialist skills in previous year (percentages)","0034","total non financial services (g-n, including 951 and excluding 75 and  k)","W50_99","50-99","2019","2019",16.53,,
"IT","Italy","E_ITSPRCR2_PERC","enterprises have recruited/tried to recruit personnel for jobs requiring ICT specialist skills in previous year (percentages)","0034","total non financial services (g-n, including 951 and excluding 75 and  k)","W100_249","100-249","2019","2019",20.75,,
"IT","Italy","E_ITSPRCR2_PERC","enterprises have recruited/tried to recruit personnel for jobs requiring ICT specialist skills in previous year (percentages)","0034","total non financial services (g-n, including 951 and excluding 75 and  k)","W_GE250","250 and over","2019","2019",34.09,,
"IT","Italy","E_ITSPRCR2_PERC","enterprises have recruited/tried to recruit personnel for jobs requiring ICT specialist skills in previous year (percentages)","0035","total economic activities  (c-n, including 951, excluding 75 and k)","W10_49","10-49","2019","2019",4.66,,
"IT","Italy","E_ITSPRCR2_PERC","enterprises have recruited/tried to recruit personnel for jobs requiring ICT specialist skills in previous year (percentages)","0035","total economic activities  (c-n, including 951, excluding 75 and k)","W_GE10","10 and over","2019","2019",6.44,,
"IT","Italy","E_ITSPRCR2_PERC","enterprises have recruited/tried to recruit personnel for jobs requiring ICT specialist skills in previous year (percentages)","0035","total economic activities  (c-n, including 951, excluding 75 and k)","W50_99","50-99","2019","2019",14.5,,
